"BTC / TRY","22859.01","1.02%"
"CBNX / TRY","0.56","2700%"
"DASH / TRY","546","3.33%"
"ETH / TRY","788.05","1.25%"
"NEM / TRY","0.22","8.48%"
"USDT / TRY","5.58","-1.06%"
