"BTC / EUR","4563.6","2.13%"
"CBNX / EUR","0.08990856","0.25%"
"DASH / EUR","117.61","0.88%"
"ETH / EUR","149.55","1.49%"
"USDT / EUR","0.892767","-0.83%"
